	premise	hypothesis	labels	preds	label	case
1666	Watson here knows more about my methods than you do , but I fear that even he has not quite grasped the significance of this sentence . "	he has quite grasped the significance of this sentence	2	2	contradiction	a: within scope.
1670	Watson here knows more about my methods than you do , but I fear that even he has not quite grasped the significance of this sentence . "	I fear that even he has quite grasped the significance of this sentence	2	2	contradiction	b: cue-removed
1671	Watson here knows more about my methods than you do , but I fear that even he has not quite grasped the significance of this sentence . "	even he has quite grasped the significance of this sentence	2	2	contradiction	b: cue-removed
1672	" No , I confess that I see no connection . "	I see connection	2	2	contradiction	a: within scope.
1673	" No , I confess that I see no connection . "	` ` No , I confess that I see connection . "	2	2	contradiction	b: cue-removed
1674	Well , if that is not smart ! " cried Sir Henry .	that is smart	2	2	contradiction	a: within scope.
1675	" Because he could not find it in print .	he could find it in print	2	2	contradiction	a: within scope.
1676	" Because he could not find it in print .	` ` Because he could find it in print .	2	2	contradiction	b: cue-removed
1677	Again , you will observe that the words are not gummed on in an accurate line , but that some are much higher than others .	the words are gummed on in an accurate line	2	2	contradiction	a: within scope.
1678	Again , you will observe that the words are not gummed on in an accurate line , but that some are much higher than others .	Again , you will observe that the words are gummed on in an accurate line , but that some are much higher than others .	2	2	contradiction	b: cue-removed
1681	" You have not observed anyone follow or watch you ? "	You have observed anyone follow or watch you	2	2	contradiction	a: within scope.
1683	" You have not observed anyone follow or watch you ? "	` ` You have observed anyone follow or watch you ? "	2	2	contradiction	b: cue-removed
1685	" You have not observed anyone follow or watch you ? "	anyone follow or watch you	2	2	contradiction	a: within scope.
1686	" I do not know much of British life yet , for I have spent nearly all my time in the States and in Canada .	I do know much of British life yet	2	2	contradiction	a: within scope.
1687	" I do not know much of British life yet , for I have spent nearly all my time in the States and in Canada .	` ` I do know much of British life yet , for I have spent nearly all my time in the States and in Canada .	2	2	contradiction	b: cue-removed
1689	But I hope that to lose one of your boots is not part of the ordinary routine of life over here . "	to lose one of your boots is part of the ordinary routine of life over here	2	2	contradiction	a: within scope.
1690	But I hope that to lose one of your boots is not part of the ordinary routine of life over here . "	But I hope that to lose one of your boots is part of the ordinary routine of life over here . "	2	2	contradiction	b: cue-removed
1691	I could get no sense out of the chap who cleans them .	I could get sense out of the chap who cleans them	2	2	contradiction	a: within scope.
1693	I could get no sense out of the chap who cleans them .	I could get sense out of the chap who cleans them .	2	2	contradiction	b: cue-removed
1695	The worst of it is that I only bought the pair last night in the Strand , and I have never had them on . "	I have had them on	2	2	contradiction	a: within scope.
1696	The worst of it is that I only bought the pair last night in the Strand , and I have never had them on . "	The worst of it is that I only bought the pair last night in the Strand , and I have had them on . "	2	2	contradiction	b: cue-removed
1699	" If you have never worn them , why did you put them out to be cleaned ? "	you have worn them	2	2	contradiction	a: within scope.
1700	" They were tan boots and had never been varnished .	They had been varnished	2	2	contradiction	a: within scope.
1701	" They were tan boots and had never been varnished .	` ` They were tan boots and had been varnished .	2	2	contradiction	b: cue-removed
1702	" I confess that I share Dr. Mortimer 's belief that it will not be long before the missing boot is found . "	it will be long before the missing boot is found	2	2	contradiction	a: within scope.
1705	" I confess that I share Dr. Mortimer 's belief that it will not be long before the missing boot is found . "	I share Dr. Mortimer 's belief that it will be long before the missing boot is found	2	2	contradiction	b: cue-removed
